sku	price	quantity	handling-time	merchant_shipping_group_name
SHEST1113	32.2832	95	4	3-5 25$
SHEST1143	53.42578823529412	95	4	3-5 25$
SHEST1188	31.45731764705883	1	4	3-5 25$
SHEST1216	32.580517647058834	4	4	2-4 25$
SHEST1230	40.178635294117655	3	4	2-4 25$
SHEST1231	27.32790588235295	95	4	2-4 25$
SHEST1241	0	0	4	3-5
SHEST1293	32.580517647058834	4	4	3-5 25$
SHEST1308	0	0	4	3-5
SHEST1330	23.31411764705883	3	4	3-5 25$
SHEST1334	25.180611764705887	1	4	2-4 25$
SHEST1348	366.44705882352946	95	4	3-5 65$
SHEST1351	242.564705882353	95	4	3-5 65$
SHEST1354	457.24456470588245	95	4	3-5 65$
SHEST1357	0		4	1-3
SHEST1368	338.3670588235295	95	4	3-5 65$
SHEST1386	440.75995294117655		4	3-5 65$
SHEST1392	333.36221176470593	95	4	3-5 65$
SHEST1403	290.4658823529412	95	4	3-5 65$
SHEST1409	290.4658823529412	95	4	3-5 65$
SHEST1419	373.0541176470589	2	4	3-5 65$
SHEST1437	0	0	4	3-5
SHEST1440	0	0	4	3-5
SHEST1444	207.87764705882358	95	4	3-5 65$
SHEST1450	273.9482352941177	95	4	3-5 65$
SHEST1460	0	0	4	3-5
SHEST1471	124.77176470588236	95	4	3-5 49$
SHEST1474	118.14818823529413	1	4	3-5 49$
SHEST1485	0	0	4	3-5
SHEST1491	109.85632941176473	95	4	3-5 49$
SHEST1493	96.69176470588238	95	4	3-5 49$
SHEST1498	0	0	4	3-5
SHEST1504	91.7364705882353	3	4	3-5 49$
SHEST1510	101.63054117647059	95	4	3-5 49$
SHEST1527	123.07044705882356	2	4	3-5 49$
SHEST1537	91.60432941176472	95	4	3-5 49$
SHEST1544	85.07985882352943	95	4	3-5 49$
SHEST1564	76.82103529411766	95	4	3-5 49$
SHEST1571	0	0	4	3-5
SHEST1575	68.5622117647059	95	4	3-5 49$
SHEST1580	55.216423529411784	95	4	3-5 25$
SHEST1588	63.59040000000003	4	4	3-5 49$
SHEST1605	60.303388235294136	95	4	3-5 49$
SHEST1606	55.39764705882355	95	4	3-5 49$
SHEST1610	58.70117647058825	95	4	3-5 49$
SHEST1613	58.70117647058825	95	4	3-5 49$
SHEST1614	60.303388235294136	95	4	3-5 49$
SHEST1616	55.265505882352954	95	4	3-5 49$
SHEST1617	44.44705882352942	3	4	3-5 49$
SHEST1618	44.4305411764706	95	4	3-5 49$
SHEST1620	51.87985882352942	95	4	3-5 25$
SHEST1621	44.397505882352945	2	4	3-5 49$
SHEST1629	44.397505882352945	95	4	3-5 49$
SHEST1634	76.82103529411766	2	4	3-5 49$
SHEST1636	60.17171764705884	95	4	3-5 25$
SHEST1639	60.17171764705884	95	4	3-5 25$
SHEST1655	44.397505882352945	95	4	3-5 49$
SHEST1684	55.18338823529412	95	4	3-5 25$
SHEST1691	51.91289411764707	95	4	3-5 25$
SHEST1702	45.322352941176476	95	4	3-5 25$
SHEST1704	0	0	4	3-5
SHEST1727	43.62103529411766	95	4	3-5 25$
SHEST1733	43.62103529411766	95	4	3-5 25$
SHEST1744	42.018823529411776	95	4	3-5 25$
SHEST1752	0	0	4	3-5
SHEST1756	60.13868235294119	95	4	3-5 25$
SHEST1759	38.6657411764706	95	4	3-5 25$
SHEST1761	0	0	4	3-5
SHEST1778	35.3622117647059	2	4	3-5 25$
SHEST1783	35.3622117647059	95	4	3-5 25$
SHEST1799	35.39524705882353	95	4	3-5 25$
SHEST1804	30.40691764705882	95	4	3-5 25$
SHEST1818	21.197505882352942	2	4	3-5 15$
SHEST1820	0	0	4	3-5
SHEST1835	32.05868235294118	95	4	3-5 25$
SHEST1840	25.45162352941177	95	4	3-5 25$
SHEST1842	25.45162352941177	95	4	3-5 25$
SHEST1843	12.938682352941182	95	4	3-5 15$
